Entity_LogicalId,Entity_EU_ReferenceNumber,Entity_SubjectType,Entity_SubjectType_ClassificationCode,Citizenship_CountryIso2Code,Citizenship_Remark
118383,EU.4762.10,P,person,DZ,
118547,EU.4781.46,P,person,IQ,
118917,EU.4881.55,P,person,IR,
118923,EU.4882.54,P,person,IR,
118994,EU.4901.21,P,person,SY,
118998,EU.4902.20,P,person,SY,
119184,EU.4941.91,P,person,SY,
119190,EU.4942.90,P,person,SY,
119200,EU.4944.88,P,person,SY,
119208,EU.4945.87,P,person,TR,
119208,EU.4945.87,P,person,SY,
119228,EU.4948.84,P,person,SY,
119304,EU.4961.29,P,person,SY,
119310,EU.4962.28,P,person,SY,
119318,EU.4963.27,P,person,SY,
119427,EU.5001.25,P,person,FR,
120040,EU.5101.34,P,person,PK,
120786,EU.5141.7,P,person,MA,
120797,EU.5142.6,P,person,ML,
121140,EU.5201.43,P,person,SA,
121200,EU.5221.78,P,person,IQ,
121346,EU.5241.16,P,person,FR,
121867,EU.5361.60,P,person,UG,
121908,EU.5381.95,P,person,PK,
122062,EU.5425.92,P,person,SY,
122106,EU.5430.66,P,person,SY,
122111,EU.5431.65,P,person,SY,
122257,EU.5461.69,P,person,SY,
122300,EU.5463.67,P,person,SY,
122300,EU.5463.67,P,person,KN,
122316,EU.5465.65,P,person,SY,
122375,EU.5481.7,P,person,KW,Kuwaiti citizenship withdrawn in 2002
123536,EU.5561.78,P,person,CF,
123536,EU.5561.78,P,person,TD,
123536,EU.5561.78,P,person,CG,
123766,EU.5601.79,P,person,IQ,
124743,EU.5661.87,P,person,FR,
124886,EU.5681.25,P,person,PK,
124957,EU.5701.88,P,person,CN,
124962,EU.5702.87,P,person,CN,
124966,EU.5703.86,P,person,RU,
124980,EU.5705.84,P,person,RU,
124987,EU.5706.83,P,person,RU,
124994,EU.5707.82,P,person,RU,
125154,EU.5711.57,P,person,CF,
125228,EU.5731.92,P,person,PK,
125328,EU.5771.65,P,person,PK,
125328,EU.5771.65,P,person,SA,
125785,EU.5851.39,P,person,RU,
125790,EU.5852.38,P,person,RU,
125879,EU.5878.67,P,person,SY,
125991,EU.5894.9,P,person,RU,
